time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd
1786181234.055607796,0.000000,0.999986160,-0.001654570,0.004994151,0.000008263,-0.189602,0.572291,-0.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e-06,1.000000e-06,1.000000e-06,1.000000e-08,1.000000e-08,1.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.059489250,0.003881,0.999986149,-0.001646573,0.004998890,0.000042631,-0.188666,0.572840,0.003942,0.000000e+00,0.000000e+00,0.000000e+00,1.000154e-06,1.000154e-06,1.000154e-06,1.003881e-08,1.003881e-08,1.003881e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.065478086,0.005989,0.999986151,-0.001640645,0.004999812,0.000089320,-0.187960,0.572955,0.009296,0.000000e+00,0.000000e+00,0.000000e+00,1.000523e-06,1.000523e-06,1.000523e-06,1.009870e-08,1.009870e-08,1.009870e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.069815159,0.004337,0.999986173,-0.001629376,0.004998185,0.000132341,-0.186644,0.572776,0.014232,0.000000e+00,0.000000e+00,0.000000e+00,1.000716e-06,1.000716e-06,1.000716e-06,1.014207e-08,1.014207e-08,1.014207e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.079503298,0.009688,0.999986138,-0.001604231,0.005010023,0.000223256,-0.183710,0.574149,0.024663,0.000000e+00,0.000000e+00,0.000000e+00,1.001681e-06,1.001681e-06,1.001681e-06,1.023896e-08,1.023896e-08,1.023896e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.099876881,0.020374,0.999986262,-0.001551451,0.004991477,0.000392813,-0.177565,0.572053,0.044127,0.000000e+00,0.000000e+00,0.000000e+00,1.005946e-06,1.005946e-06,1.005946e-06,1.044269e-08,1.044269e-08,1.044269e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.109767675,0.009891,0.999986252,-0.001531127,0.004992999,0.000469869,-0.175192,0.572240,0.052969,0.000000e+00,0.000000e+00,0.000000e+00,1.006957e-06,1.006957e-06,1.006957e-06,1.054160e-08,1.054160e-08,1.054160e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.115498543,0.005731,0.999986204,-0.001522360,0.004999999,0.000523680,-0.174156,0.573051,0.059139,0.000000e+00,0.000000e+00,0.000000e+00,1.007300e-06,1.007300e-06,1.007300e-06,1.059891e-08,1.059891e-08,1.059891e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.119619846,0.004121,0.999986154,-0.001522708,0.005007204,0.000549237,-0.174181,0.573881,0.062066,0.000000e+00,0.000000e+00,0.000000e+00,1.007480e-06,1.007480e-06,1.007479e-06,1.064012e-08,1.064012e-08,1.064012e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.125505447,0.005886,0.999986110,-0.001497920,0.005014435,0.000626366,-0.171296,0.574721,0.070918,0.000000e+00,0.000000e+00,0.000000e+00,1.007842e-06,1.007842e-06,1.007842e-06,1.069898e-08,1.069898e-08,1.069898e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.129745007,0.004240,0.999986034,-0.001500492,0.005024116,0.000661696,-0.171569,0.575837,0.074964,0.000000e+00,0.000000e+00,0.000000e+00,1.008033e-06,1.008033e-06,1.008033e-06,1.074137e-08,1.074137e-08,1.074137e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.135512829,0.005768,0.999986001,-0.001494737,0.005025014,0.000715878,-0.170878,0.575948,0.081176,0.000000e+00,0.000000e+00,0.000000e+00,1.008383e-06,1.008383e-06,1.008382e-06,1.079905e-08,1.079905e-08,1.079905e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.139526367,0.004014,0.999985990,-0.001495070,0.005023480,0.000740780,-0.170902,0.575777,0.084030,0.000000e+00,0.000000e+00,0.000000e+00,1.008554e-06,1.008554e-06,1.008554e-06,1.083919e-08,1.083919e-08,1.083919e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.145362616,0.005836,0.999985960,-0.001489293,0.005024375,0.000786279,-0.170214,0.575887,0.089247,0.000000e+00,0.000000e+00,0.000000e+00,1.008914e-06,1.008914e-06,1.008913e-06,1.089755e-08,1.089755e-08,1.089755e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.149671793,0.004309,0.999985942,-0.001480437,0.005025039,0.000819851,-0.169180,0.575968,0.093099,0.000000e+00,0.000000e+00,0.000000e+00,1.009112e-06,1.009112e-06,1.009112e-06,1.094064e-08,1.094064e-08,1.094064e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.155489206,0.005817,0.999985844,-0.001480837,0.005035236,0.000874516,-0.169193,0.577145,0.099361,0.000000e+00,0.000000e+00,0.000000e+00,1.009470e-06,1.009470e-06,1.009470e-06,1.099881e-08,1.099881e-08,1.099881e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.159706831,0.004218,0.999985767,-0.001467582,0.005044906,0.000927556,-0.167643,0.578261,0.105446,0.000000e+00,0.000000e+00,0.000000e+00,1.009662e-06,1.009662e-06,1.009661e-06,1.104099e-08,1.104099e-08,1.104099e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.165493727,0.005787,0.999985631,-0.001483505,0.005061167,0.000960428,-0.169447,0.580132,0.109201,0.000000e+00,0.000000e+00,0.000000e+00,1.010018e-06,1.010018e-06,1.010017e-06,1.109886e-08,1.109886e-08,1.109886e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.169733286,0.004240,0.999985597,-0.001483835,0.005061810,0.000991245,-0.169466,0.580211,0.112732,0.000000e+00,0.000000e+00,0.000000e+00,1.010212e-06,1.010212e-06,1.010211e-06,1.114125e-08,1.114125e-08,1.114125e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.175483704,0.005750,0.999985612,-0.001462837,0.005056578,0.001032944,-0.167037,0.579616,0.117523,0.000000e+00,0.000000e+00,0.000000e+00,1.010564e-06,1.010564e-06,1.010564e-06,1.119876e-08,1.119876e-08,1.119876e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.179797649,0.004314,0.999985547,-0.001463154,0.005061833,0.001068889,-0.167052,0.580224,0.121642,0.000000e+00,0.000000e+00,0.000000e+00,1.010766e-06,1.010766e-06,1.010766e-06,1.124190e-08,1.124190e-08,1.124190e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.185483932,0.005686,0.999985393,-0.001478661,0.005074820,0.001128452,-0.168792,0.581724,0.128456,0.000000e+00,0.000000e+00,0.000000e+00,1.011113e-06,1.011113e-06,1.011112e-06,1.129876e-08,1.129876e-08,1.129876e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.189759731,0.004276,0.999985303,-0.001478932,0.005082321,0.001173186,-0.168796,0.582591,0.133581,0.000000e+00,0.000000e+00,0.000000e+00,1.011312e-06,1.011312e-06,1.011311e-06,1.134152e-08,1.134152e-08,1.134152e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
