time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd
1786181234.055607796,0.000000,0.999986160,-0.001654570,0.004994151,0.000008263,-0.189602,0.572291,-0.000000,5.380182e-04,2.437071e-03,1.661853e-02,1.000000e-06,1.000000e-06,1.000000e-06,1.000000e-08,1.000000e-08,1.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.059489250,0.003881,0.999986172,-0.001647778,0.004994107,0.000010392,-0.188823,0.572286,0.000248,5.380182e-04,2.437071e-03,1.661853e-02,1.000154e-06,1.000154e-06,1.000154e-06,1.003881e-08,1.003881e-08,1.003881e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.065478086,0.005989,0.999986211,-0.001643710,0.004987649,0.000007339,-0.188358,0.571545,-0.000098,5.380182e-04,2.437071e-03,1.661853e-02,1.000523e-06,1.000523e-06,1.000523e-06,1.009870e-08,1.009870e-08,1.009870e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.069815159,0.004337,0.999986262,-0.001633788,0.004980678,0.000014338,-0.187217,0.570748,0.000711,5.380182e-04,2.437071e-03,1.661853e-02,1.000716e-06,1.000716e-06,1.000716e-06,1.014207e-08,1.014207e-08,1.014207e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.079503298,0.009688,0.999986298,-0.001611650,0.004980576,0.000024786,-0.184674,0.570738,0.001920,5.380182e-04,2.437071e-03,1.661853e-02,1.001681e-06,1.001681e-06,1.001681e-06,1.023896e-08,1.023896e-08,1.023896e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.099876881,0.020374,0.999986588,-0.001565202,0.004936923,0.000025124,-0.179351,0.565736,0.001994,5.380182e-04,2.437071e-03,1.661853e-02,1.005946e-06,1.005946e-06,1.005946e-06,1.044269e-08,1.044269e-08,1.044269e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.109767675,0.009891,0.999986668,-0.001547947,0.004926258,0.000020029,-0.177377,0.564513,0.001421,5.380182e-04,2.437071e-03,1.661853e-02,1.006957e-06,1.006957e-06,1.006957e-06,1.054160e-08,1.054160e-08,1.054160e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.115498543,0.005731,0.999986679,-0.001540957,0.004926198,0.000026240,-0.176572,0.564507,0.002137,5.380182e-04,2.437071e-03,1.661853e-02,1.007300e-06,1.007300e-06,1.007300e-06,1.059891e-08,1.059891e-08,1.059891e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.119619846,0.004121,0.999986666,-0.001542580,0.004928329,0.000017565,-0.176763,0.564750,0.001142,5.380182e-04,2.437071e-03,1.661853e-02,1.007479e-06,1.007479e-06,1.007479e-06,1.064012e-08,1.064012e-08,1.064012e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.125505447,0.005886,0.999986700,-0.001519619,0.004928301,0.000045811,-0.174116,0.564751,0.004391,5.380182e-04,2.437071e-03,1.661853e-02,1.007842e-06,1.007842e-06,1.007842e-06,1.069898e-08,1.069898e-08,1.069898e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
