time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd,x,y,z,vx,vy,vz,ba_x,ba_y,ba_z,zp_x,zp_y,zp_z,nis_p,Sp00,Sp11,Sp22,upd_p,Ppx,Ppy,Ppz,Pvx,Pvy,Pvz,Pbax,Pbay,Pbaz
1786181234.055607796,0.000000,0.999986160,-0.001654570,0.004994151,0.000008263,-0.189602,0.572291,-0.000000,5.380182e-04,2.437071e-03,1.661853e-02,1.000000e-06,1.000000e-06,1.000000e-06,1.000000e-08,1.000000e-08,1.000000e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04,1.000000e-04,2.500000e-03,2.500000e-03,2.500000e-03
1786181234.059489250,0.003881,0.999986172,-0.001647778,0.004994107,0.000010392,-0.188823,0.572286,0.000248,5.380182e-04,2.437071e-03,1.661853e-02,1.000154e-06,1.000154e-06,1.000154e-06,1.003881e-08,1.003881e-08,1.003881e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000,0.000000,0.000000,0.000329,0.000120,-0.000134,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.000015e-04,1.000015e-04,1.000015e-04,1.002560e-04,1.002560e-04,1.002546e-04,2.500001e-03,2.500001e-03,2.500001e-03
1786181234.065478086,0.005989,0.999986211,-0.001643710,0.004987649,0.000007339,-0.188358,0.571545,-0.000098,5.380182e-04,2.437071e-03,1.661853e-02,1.000523e-06,1.000523e-06,1.000523e-06,1.009870e-08,1.009870e-08,1.009870e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000002,0.000001,-0.000001,0.000907,-0.000039,-0.000456,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.000098e-04,1.000098e-04,1.000098e-04,1.009863e-04,1.009863e-04,1.009770e-04,2.500002e-03,2.500002e-03,2.500002e-03
1786181234.069815159,0.004337,0.999986262,-0.001633788,0.004980678,0.000014338,-0.187217,0.570748,0.000711,5.380182e-04,2.437071e-03,1.661853e-02,1.000716e-06,1.000716e-06,1.000716e-06,1.014207e-08,1.014207e-08,1.014207e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000006,0.000001,-0.000003,0.001006,-0.000113,-0.000415,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.000202e-04,1.000202e-04,1.000202e-04,1.015282e-04,1.015282e-04,1.015089e-04,2.500004e-03,2.500004e-03,2.500004e-03
1786181234.079503298,0.009688,0.999986298,-0.001611650,0.004980576,0.000024786,-0.184674,0.570738,0.001920,5.380182e-04,2.437071e-03,1.661853e-02,1.001681e-06,1.001681e-06,1.001681e-06,1.023896e-08,1.023896e-08,1.023896e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000016,-0.000001,-0.000007,-0.000468,-0.000096,-0.000448,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.000574e-04,1.000574e-04,1.000574e-04,1.038381e-04,1.038381e-04,1.037834e-04,2.500006e-03,2.500006e-03,2.500006e-03
1786181234.099876881,0.020374,0.999986588,-0.001565202,0.004936923,0.000025124,-0.179351,0.565736,0.001994,5.380182e-04,2.437071e-03,1.661853e-02,1.005946e-06,1.005946e-06,1.005946e-06,1.044269e-08,1.044269e-08,1.044269e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000006,-0.000003,-0.000016,0.002838,-0.001354,-0.002138,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.001990e-04,1.001990e-04,1.001989e-04,1.134192e-04,1.134192e-04,1.132325e-04,2.500011e-03,2.500011e-03,2.500011e-03
1786181234.109767675,0.009891,0.999986668,-0.001547947,0.004926258,0.000020029,-0.177377,0.564513,0.001421,5.380182e-04,2.437071e-03,1.661853e-02,1.006957e-06,1.006957e-06,1.006957e-06,1.054160e-08,1.054160e-08,1.054160e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000034,-0.000016,-0.000037,0.001545,-0.001536,-0.001203,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.003005e-04,1.003005e-04,1.003003e-04,1.173561e-04,1.173561e-04,1.170750e-04,2.500014e-03,2.500014e-03,2.500014e-03
1786181234.115498543,0.005731,0.999986679,-0.001540957,0.004926198,0.000026240,-0.176572,0.564507,0.002137,5.380182e-04,2.437071e-03,1.661853e-02,1.007300e-06,1.007300e-06,1.007300e-06,1.059891e-08,1.059891e-08,1.059891e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000043,-0.000025,-0.000044,0.000353,-0.001424,-0.001055,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.003699e-04,1.003699e-04,1.003697e-04,1.195261e-04,1.195261e-04,1.191820e-04,2.500015e-03,2.500015e-03,2.500015e-03
1786181234.119619846,0.004121,0.999986666,-0.001542580,0.004928329,0.000017565,-0.176763,0.564750,0.001142,5.380182e-04,2.437071e-03,1.661853e-02,1.007479e-06,1.007479e-06,1.007479e-06,1.064012e-08,1.064012e-08,1.064012e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000044,-0.000031,-0.000048,-0.000296,-0.001344,-0.000902,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.004247e-04,1.004247e-04,1.004245e-04,1.210966e-04,1.210966e-04,1.207032e-04,2.500016e-03,2.500016e-03,2.500016e-03
1786181234.125505447,0.005886,0.999986700,-0.001519619,0.004928301,0.000045811,-0.174116,0.564751,0.004391,5.380182e-04,2.437071e-03,1.661853e-02,1.007842e-06,1.007842e-06,1.007842e-06,1.069898e-08,1.069898e-08,1.069898e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000043,-0.000038,-0.000054,-0.000028,-0.001105,-0.000878,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.005104e-04,1.005104e-04,1.005100e-04,1.236418e-04,1.236418e-04,1.231724e-04,2.500017e-03,2.500017e-03,2.500017e-03
