time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg
1786181234.065478,0.000000,0.999986,-0.001658,0.005010,0.000008,-0.189938,0.574157,0.000000
1786181234.069815,0.004337,0.999986,-0.001648,0.005003,0.000015,-0.188803,0.573362,0.000809
1786181234.079503,0.009688,0.999986,-0.001626,0.005003,0.000026,-0.186272,0.573358,0.002018
1786181234.099877,0.020374,0.999986,-0.001579,0.004960,0.000026,-0.180976,0.568367,0.002090
1786181234.109768,0.009891,0.999987,-0.001562,0.004949,0.000021,-0.179014,0.567149,0.001517
1786181234.115499,0.005731,0.999987,-0.001555,0.004949,0.000027,-0.178217,0.567146,0.002233
1786181234.119620,0.004121,0.999987,-0.001557,0.004951,0.000019,-0.178413,0.567391,0.001237
1786181234.125505,0.005886,0.999987,-0.001534,0.004951,0.000047,-0.175773,0.567396,0.004486
1786181234.129745,0.004240,0.999987,-0.001538,0.004956,0.000047,-0.176223,0.567910,0.004496
1786181234.135513,0.005768,0.999987,-0.001534,0.004950,0.000053,-0.175773,0.567203,0.005219
1786181234.139526,0.004014,0.999987,-0.001536,0.004943,0.000045,-0.175964,0.566462,0.004252
1786181234.145363,0.005836,0.999987,-0.001532,0.004937,0.000042,-0.175519,0.565744,0.003914
1786181234.149672,0.004309,0.999987,-0.001524,0.004932,0.000039,-0.174664,0.565213,0.003664
1786181234.155489,0.005817,0.999987,-0.001527,0.004935,0.000046,-0.174920,0.565566,0.004389
1786181234.159707,0.004218,0.999987,-0.001515,0.004940,0.000064,-0.173546,0.566083,0.006459
1786181234.165494,0.005787,0.999987,-0.001533,0.004949,0.000049,-0.175591,0.567132,0.004706
1786181234.169733,0.004240,0.999987,-0.001534,0.004945,0.000044,-0.175788,0.566610,0.004201
1786181234.175484,0.005750,0.999987,-0.001515,0.004932,0.000038,-0.173598,0.565199,0.003519
1786181234.179798,0.004314,0.999987,-0.001517,0.004932,0.000038,-0.173793,0.565195,0.003531
1786181234.185484,0.005686,0.999987,-0.001534,0.004938,0.000051,-0.175771,0.565889,0.004933
1786181234.189760,0.004276,0.999987,-0.001536,0.004940,0.000060,-0.175954,0.566149,0.005988
1786181234.195493,0.005733,0.999987,-0.001538,0.004950,0.000066,-0.176207,0.567196,0.006700
1786181234.199927,0.004433,0.999987,-0.001533,0.004952,0.000069,-0.175593,0.567464,0.006982
1786181234.205505,0.005578,0.999987,-0.001532,0.004949,0.000066,-0.175508,0.567118,0.006658
1786181234.209739,0.004235,0.999987,-0.001531,0.004940,0.000061,-0.175446,0.566079,0.006156
